Model	Family	CV PR-AUC	CV SE	Test PR-AUC	Test ROC-AUC	Accuracy	Precision	Recall	F1-Score	Missed Patients (FN)	False Alarms (FP)	SMOTE	Tuning Time (min)
TabPFN	Modern	0.579006636	0.010811104	0.562763524	0.886430319	0.896749131	0.663551402	0.349180328	0.457572503	397	108	off	2.563183363
Stacking Ensemble	Modern	0.575371894	0.011303846	0.562704653	0.885581736	0.896340217	0.645070423	0.375409836	0.474611399	381	126	per base model	15.7902675
TabM	Modern	0.571877716	0.011001101	0.558812337	0.885414776	0.894091188	0.648387097	0.329508197	0.436956522	409	109	off	5.871408089
CatBoost	Modern	0.57171353	0.010490659	0.56401269	0.884181343	0.895726845	0.66025641	0.337704918	0.446854664	404	106	off	3.830212712
Explainable Boosting	Modern	0.569304097	0.010163282	0.560386501	0.884572702	0.89613576	0.65	0.362295082	0.465263158	389	119	off	11.00731042
XGBoost	Baseline	0.567551268	0.013111846	0.550767764	0.883039048	0.896749131	0.672131148	0.336065574	0.448087432	405	100	off	25.10094572
Logistic Regression	Baseline	0.566705323	0.011520204	0.554469907	0.880217967	0.894500102	0.646875	0.339344262	0.44516129	403	113	off	5.325615052
FT-Transformer	Modern	0.565904051	0.010034747	0.546004462	0.881014471	0.892659988	0.640264026	0.318032787	0.424972618	416	109	off	11.36495999
LightGBM	Baseline	0.564389635	0.013379521	0.550886127	0.882540467	0.898589246	0.680379747	0.352459016	0.464362851	395	101	off	6.632192532
Neural Network (MLP)	Baseline	0.564342903	0.012630382	0.550480966	0.8767099	0.895726845	0.654320988	0.347540984	0.453961456	398	112	off	7.50086571
Random Forest	Baseline	0.555820003	0.009583426	0.534024623	0.873339307	0.892046616	0.697115385	0.237704918	0.354523227	465	63	off	6.550574871
RealMLP	Modern	0.552817566	0.01019536	0.536889226	0.868674011	0.888570844	0.587131367	0.359016393	0.445574771	391	154	off	13.70627755
SVM	Baseline	0.547325339	0.009374744	0.536922002	0.861704213	0.875485586	1	0.001639344	0.003273322	609	0	off	11.19032514
TabNet	Modern	0.516468181	0.016838093	0.50020263	0.860927621	0.88816193	0.627530364	0.254098361	0.361726954	455	92	off	11.57024744
KNN	Baseline	0.494632233	0.017876202	0.502653372	0.863441206	0.877734615	0.875	0.02295082	0.044728435	596	2	off	4.263429368
Naive Bayes	Baseline	0.465303288	0.011888694	0.449333851	0.852068423	0.817624208	0.365969582	0.631147541	0.463297232	225	667	off	11.66746483
Decision Tree	Baseline	0.458036498	0.012048066	0.429633876	0.824207229	0.881823758	0.550314465	0.286885246	0.377155172	435	143	off	9.453298891
