Feature,Importance_Mean,Importance_Std
age,0.120078677,0.006725508
chest_pain_type,0.086750693,0.008373968
severe_chest_pain,0.028008931,0.004566207
total_cholesterol,0.025229431,0.003453468
general_health,0.022896442,0.004224240
albumin_creatinine_ratio,0.014073799,0.002172522
gender,0.013003037,0.002758743
high_cholesterol_history,0.010694592,0.002013245
hypertension_history,0.010017504,0.002875083
stroke_history,0.009210566,0.002138717
resting_heart_rate,0.008086381,0.002189373
serum_creatinine,0.008051666,0.002554575
sob_on_exertion,0.006770546,0.002569019
uric_acid,0.006173155,0.001719888
ethnicity,0.005164589,0.002607705
family_history_chd,0.003855187,0.003342540
poverty_income_ratio,0.002506451,0.001719856
hba1c,0.002467326,0.001133504
waist_cm,0.002106419,0.001199734
rdw,0.001793855,0.001108972
diastolic_bp,0.001742485,0.001186358
physically_active,0.001174953,0.000487709
smoking_status,0.001098382,0.001350490
hemoglobin,0.000828708,0.000981535
diabetes_status,0.000687937,0.001204079
bmi,0.000685489,0.001372235
height_cm,0.000029300,0.000894066
education_level,-0.000350799,0.000873890
white_blood_cells,-0.000390546,0.000711933
hdl_cholesterol,-0.000878886,0.001063495
systolic_bp,-0.001053798,0.001710646
